%Year Day(UTC),Latitude(deg),Longitude(deg),Carioca SST(degC)
47.00000000,-2.9992,-125.2541,27.29
47.04166667,-2.9979,-125.2606,27.19
47.08332176,-2.9966,-125.2670,27.11
47.12500000,-2.9892,-125.2886,27.01
47.16666667,-2.9763,-125.3236,26.92
47.20832176,-2.9682,-125.3441,26.90
47.25000000,-2.9611,-125.3614,26.87
47.29166667,-2.9539,-125.3786,26.83
47.33332176,-2.9468,-125.3959,26.82
47.37500000,-2.9416,-125.4134,26.82
47.41666667,-2.9446,-125.4317,26.81
47.45832176,-2.9436,-125.4481,26.78
47.50000000,-2.9391,-125.4629,26.77
47.54166667,-2.9347,-125.4777,26.75
47.58332176,-2.9303,-125.4925,26.75
47.62500000,-2.9258,-125.5073,26.73
47.66666667,-2.9175,-125.5200,26.73
47.70832176,-2.9089,-125.5324,26.75
47.75000000,-2.9031,-125.5453,26.79
47.79166667,-2.8973,-125.5582,26.85
47.83332176,-2.8915,-125.5711,26.94
47.87500000,-2.8857,-125.5840,27.03
47.91666667,-2.8800,-125.5960,27.10
47.95832176,-2.8744,-125.6072,27.16
48.00000000,-2.8730,-125.6100,27.17
48.04166667,-2.8730,-125.6100,27.19
48.08332176,-2.8730,-125.6100,27.15
48.12500000,-2.8686,-125.6362,27.09
48.16666667,-2.8642,-125.6628,27.06
48.20832176,-2.8598,-125.6894,27.00
48.25000000,-2.8580,-125.7000,26.98
48.29166667,-2.8580,-125.7000,26.95
48.33332176,-2.8580,-125.7000,26.92
48.37500000,-2.8533,-125.7159,26.90
48.41666667,-2.8393,-125.7637,26.88
48.45832176,-2.8253,-125.8114,26.85
48.50000000,-2.8112,-125.8592,26.85
48.54166667,-2.8110,-125.8600,26.82
48.58332176,-2.8110,-125.8600,26.81
48.62500000,-2.8110,-125.8649,26.82
48.66666667,-2.8110,-125.8845,26.81
48.70832176,-2.8070,-125.9043,26.82
48.75000000,-2.8014,-125.9242,26.81
48.79166667,-2.7958,-125.9442,26.82
48.83332176,-2.7903,-125.9641,26.85
48.87500000,-2.7847,-125.9840,26.91
48.91666667,-2.7818,-125.9982,26.91
48.95832176,-2.7800,-126.0098,26.91
49.00000000,-2.7771,-126.0323,26.91
49.04166667,-2.7741,-126.0551,26.94
49.08332176,-2.7712,-126.0778,26.90
49.20832176,-2.7640,-126.1300,26.86
49.25000000,-2.7640,-126.1300,26.85
49.29166667,-2.7640,-126.1300,26.83
49.33332176,-2.7640,-126.1300,26.82
49.37500000,-2.7614,-126.1622,26.82
49.41666667,-2.7563,-126.2245,26.81
49.45832176,-2.7577,-126.2527,26.80
49.50000000,-2.7614,-126.2696,26.80
49.54166667,-2.7650,-126.2866,26.80
49.58332176,-2.7686,-126.3035,26.78
49.62500000,-2.7696,-126.3173,26.78
49.66666667,-2.7690,-126.3290,26.78
49.70832176,-2.7686,-126.3444,26.79
49.75000000,-2.7682,-126.3602,26.82
49.79166667,-2.7679,-126.3759,26.86
49.83332176,-2.7675,-126.3916,26.94
49.87500000,-2.7671,-126.4074,26.99
49.91666667,-2.7675,-126.4240,27.05
49.95832176,-2.7677,-126.4410,27.07
50.00000000,-2.7626,-126.4606,27.07
50.04166667,-2.7575,-126.4802,27.07
50.08332176,-2.7523,-126.4998,27.02
50.12500000,-2.7472,-126.5193,26.99
50.16666667,-2.7418,-126.5316,26.97
50.20832176,-2.7378,-126.5450,26.97
50.25000000,-2.7373,-126.5618,26.95
50.29166667,-2.7367,-126.5786,26.93
50.41666667,-2.7350,-126.6289,26.90
50.45832176,-2.7315,-126.6416,26.89
